"ui.attribute.accel" : "Acceleration"
"ui.attribute.accel.detail" : "You can move faster."
"ui.attribute.decel" : "Deceleration"
"ui.attribute.decel.detail" : "You move more slowly."
"ui.attribute.inverse" : "Drunk"
"ui.attribute.inverse.detail" : "You move in the opposite direction of the input."
"ui.attribute.invisible" : "Invisible"
"ui.attribute.invisible.detail" : "You are invisible to others."
"ui.attribute.size" : "Sizing"
"ui.attribute.size.detail" : "Your body size changes."
"ui.attribute.curseOfBloody" : "Curse of Bloody"
"ui.attribute.curseOfBloody.detail" : "You will leave a trail of blood for a while."
"ui.attribute.isolation" : "Isolation"
"ui.attribute.isolation.detail" : "You dont't see it in Admin and Vitals."
"ui.attribute.busker" : "Busker Effect"
"ui.attribute.busker.detail" : "You appear alive on vitals."
"ui.attribute.flip" : "Flip"
"ui.attribute.flip.detail" : "The screen is flipped."
"ui.attribute.screenSize" : "Expansion"
"ui.attribute.screenSize.detail" : "The field of view reflected on the screen expands."
"ui.attribute.eyesight" : "Eyesight"
"ui.attribute.eyesight.detail" : "Your field of vision will expand."
"ui.attribute.rough" : "Mosaic"
"ui.attribute.rough.detail" : "Your screen will look rough."
"ui.attribute.thurifer" : "Mad Cultivation"
"ui.attribute.thurifer.detail" : "You are affected by the smoke of the thuribulum."
"ui.attribute.cooldown" : "Gear Change"
"ui.attribute.cooldown.detail" : "The speed of cooldown has changed."
