# Assignable

"role.echo.name" : "Echo"
"role.echo.short" : "E"
"role.echo.blurb" : "Listen Carefully"

# Document

"role.echo.doc" : "A crewmate who can detect nearby players and sense actions."
"role.echo.ability.title" : "Inherent Ability "The Yell In the Valley""
"role.echo.ability.main" : ""
"role.echo.ability.echo" : "<title>Echo</title>Detect nearby players. You can tell the direction of players detected nearby.<br>The farther the player is, the longer the time lag until detection."
"role.echo.ability.action" : "<title>Action Detection</title> Can sense actions that occur on the ship."
"role.echo.tips" : "・The actions that can be sensed are as follows.<br>%ACTIONS%"

# Options

"options.role.echo.detail" : "Echo is a Crewmate who can detect players."
"options.role.echo.echoCooldown" : "Echo Cooldown"
"options.role.echo.echoRange" : "Echo Range"

# Game

# UI

"button.label.echo" : "echo"

# Stats

"stats.echo.players" : "Num of Players Detected"
"stats.echo.actions" : "Num of Actions Detected"

# Titles

"achievement.echo.common1.title" : "Psychic Wave Sonar"
"achievement.echo.common1.goal" : "Echo nearby players."

"achievement.echo.common2.title" : "Pulsation of a New Star"
"achievement.echo.common2.goal" : "Detect other players' actions a total of 50 times."
"achievement.echo.common2.splitted.0" : "New Star's "

"achievement.echo.challenge.title" : "Echoes Are Watching"
"achievement.echo.challenge.goal" : "Exile 2 non-crewmate players who took actions through your votes."
"achievement.echo.challenge.flavor" : ""It's all right. We're here with you." —Zankyō"
"achievement.echo.challenge.splitted.2" : "Watching"
