# Assignable

"role.secret.name" : "Secret"
"role.secret.short" : "?"
"role.secret.blurb" : "Wake Up!"
"role.secret.generalBlurb" : "Wake Up!"
"role.secretInGame.name" : "Secret"
"role.secretInGame.short" : "?"
"role.secretInGame.blurb" : "Wake Up!"

# Document

"role.secret.doc" : "Wake up and gain your original role."

# Options

"options.role.secret.detail" : "Secret hides your role.<br>Players do task or kill for arousal."
"options.role.secret.impostorArousalMethod" : "Impostor Arousal Method"
"options.role.secret.impostorArousalMethod.kill" : "Kill"
"options.role.secret.impostorArousalMethod.death" : "Death Of Impostors"
"options.role.secret.killingForArousal" : "# Killing For Arousal"
"options.role.secret.tasksForArousal" : "# Tasks For Arousal"

# Game


# UI


# Stats


# Titles

"achievement.secret.common1.title" : "Awakening"
"achievement.secret.common1.goal" : "Awaken your original role through kills or tasks."

"achievement.secret.another1.title" : "Light Sleep"
"achievement.secret.another1.goal" : "Awaken and win."
"achievement.secret.another1.flavor" : ""I had a good sleep.""

"achievement.secret.another2.title" : "Deep Sleep"
"achievement.secret.another2.goal" : "Win without awakening."
"achievement.secret.another2.flavor" : ""Why is that?" —A comrade's call"

"achievement.secret.challenge.title" : "Rome Was Built In A Day"
"achievement.secret.challenge.goal" : "Awaken and achieve the role's challenge achievement."
