# Assignable

"role.trilemma.name" : "Trilemma"
"role.trilemma.generalBlurb" : "None Bow To Heaven Together"
"role.trilemma.blurb" : "You're stuck in a trilemma."

# Document

"role.trilemma.doc" : "A three-way deadlock relationship. You cannot win unless the other two die."
"role.trilemma.winCond" : "%WIN%"
"role.trilemma.winCond.block" : "After satisfying your own victory condition while alive,<br>both remaining Trilemma members must be dead at the end of the game.<br>If either one of the remaining is alive, you lose the victory."
"role.trilemma.winCond.additional" : "After satisfying your own victory condition while alive,<br>both remaining Trilemma members must be dead at the end of the game.<br>If either one of the remaining is alive, you lose the victory."
"role.trilemma.winCond.overwrite" : "After satisfying your own victory condition while alive,<br>if both remaining Trilemma members are dead at the end of the game,<br>you seize the victory. If either one of the remaining is alive, you lose the victory."

# Options

"options.role.trilemma.detail" : "Trilemma cannot won unless the remaining two players die."
"options.role.trilemma.numOfTrilemma" : "# Trilemmas"
"options.role.trilemma.impostorAssignment" : "Impostor Assignment"
"options.role.trilemma.neutralAssignment" : "Neutral Assignment"
"options.role.trilemma.assignment.zero" : "Deny"
"options.role.trilemma.assignment.maxOne" : "Max 1"
"options.role.trilemma.assignment.one" : "Just 1"
"options.role.trilemma.assignment.oneOrMore" : "1～"
"options.role.trilemma.assignment.zeroOrMore" : "0～"
"options.role.trilemma.winCondition" : "Win Condition"
"options.role.trilemma.winCondition.detail" : "Set the Trilemma's victory (block) condition.<br> -<b>Block Only</b>: You lose the victory condition if you die or the other two are alive.<br> -<b>Extra Win</b>: Get an extra win if the other two are dead and you are alive.<br> -<b>Seize Victory</b>: If the other two are dead and you win while alive, you seize the victory."
"options.role.trilemma.winCondition.block" : "Block"
"options.role.trilemma.winCondition.additional" : "Extra Win"
"options.role.trilemma.winCondition.overwrite" : "Overwrite"

# Game

"role.trilemma.taskText" : "[Trilemma Mission] Death of %PLAYERS%."

# UI


# Stats


# Titles

"achievement.trilemma.common1.title" : "Sworn Enemies"
"achievement.trilemma.common1.goal" : "Become the last remaining Trilemma member."

"achievement.trilemma.another1.title" : "Fugu-ten, Tai-ten, Multiply by ten!"
"achievement.trilemma.another1.goal" : "Become the first to drop out of Trilemma."
"achievement.trilemma.another1.flavor" : ""I might prefer sweet potatoes.""

"achievement.trilemma.common2.title" : "Still, I Won't Give Up"
"achievement.trilemma.common2.goal" : "Win while dropping out of Trilemma."
"achievement.trilemma.common2.cond" : "The other Trilemma players must be defeated."

"achievement.trilemma.challenge.title" : "Are You Watching!?"
"achievement.trilemma.challenge.goal" : "Become the last remaining Trilemma member and end the game with your own kill to win."
"achievement.trilemma.challenge.flavor" : ""Let's keep torturing this guy!" —In the Silent Sea"
"achievement.trilemma.challenge.splitted.2" : "!?"

# Team

"end.trilemma" : "Trilemma Wins %EXTRA%"
"end.extra.trilemma" : " <color=#FFFFFF>with</color> Trilemma"

# Document

"document.tip.winCond.trilemma.title" : "Overwrite Winning"
"document.tip.winCond.trilemma" : "If two player in the trilemma die and then survive and meet the victory conditions,<br>it will overwrite the winning."
