"achievement.firstKill.title" : "Vanitas"
"achievement.firstKill.goal" : "Become the first victim 10 times in total."

"achievement.firstKill2.title" : "Spirit World Welcomer"
"achievement.firstKill2.goal" : "Be killed first a total of 50 times."
"achievement.firstKill2.splitted.2" : "Welcomer"

"achievement.firstKill3.title" : "Recognizable Game"
"achievement.firstKill3.goal" : "Be killed first a total of 100 times."
"achievement.firstKill3.flavor" : ""Was that your doing?" ―■■■"

"achievement.death1.title" : "Start of Suspense"
"achievement.death1.goal" : "Die a total of 50 times."

"achievement.death2.title" : "Mountain of Corpses"
"achievement.death2.goal" : "Die a total of 100 times."
"achievement.death2.splitted.2" : "Mountain"

"achievement.death3.title" : "Uninterrupted Karmic Wind"
"achievement.death3.goal" : "Die a total of 500 times."
"achievement.death3.flavor" : ""―――""
"achievement.death3.splitted.0" : "Uninterrupted "

"achievement.challenge.impostor.title" : "Ruin"
"achievement.challenge.impostor.goal" : "Win by your killing while all Imposters are alive."
"achievement.challenge.impostor.cond" : "Kill 2 or more people"

"achievement.challenge.lastCrewmate.title" : "Steep Peak"
"achievement.challenge.lastCrewmate.goal" : "Survive as the last Crewmate and win with Crewmate victory."
"achievement.challenge.lastCrewmate.cond" : "Madmate is not counted as part of the Crewmate faction"

"achievement.challenge.death2.title" : "All Kinds of Tricks"
"achievement.challenge.death2.goal" : "Cause players to die from 4 or more types of causes of death."
"achievement.challenge.death2.cond" : "Excludes your own death and deaths you are not involved in+Includes exiles you contributed to with your vote"

"achievement.noCrewmate.title" : "Time Limit"
"achievement.noCrewmate.goal" : "Win with task victory while all Crewmates are dead."
"achievement.noCrewmate.cond" : "You must belong to the Crewmate faction+Madmate is not counted as part of the Crewmate faction"

"achievement.challenge.crewmate.title" : "The Ordinary"
"achievement.challenge.crewmate.goal" : "Win by tasks without anyone dying."

"achievement.speedAttribute.title" : "Is It Good or Bad?"
"achievement.speedAttribute.goal" : "Receive both movement speed increase and movement speed decrease effects at the same time."

"achievement.threeRoles.title" : "Trilemma"
"achievement.threeRoles.goal" : "Acquire the roles/modifiers at the same time.<br> -Any Impostor Role<br> -Lover<br> -Sidekick (Modifier)"

"achievement.doTaskEvenDead.title" : "Hardworking Ghost"
"achievement.doTaskEvenDead.goal" : "Complete all tasks while dead."
"achievement.doTaskEvenDead.cond" : "Total number of tasks: 8 or more"

"achievement.noMeeting.title" : "Long Night's Dream"
"achievement.noMeeting.goal" : "Win without having a meeting."
"achievement.noMeeting.flavor" : ""The worst awakening to you""
"achievement.noMeeting.splitted.2" : "Dream"

"achievement.extraVictim.title" : "That Relief Is Fleeting"
"achievement.extraVictim.goal" : "Die by additional exile in a meeting."
"achievement.extraVictim.splitted.0" : "That "

"achievement.spectator.dead.title" : "Death Camera"
"achievement.spectator.dead.goal" : "The player you are spectating is killed and dies."

"achievement.spectator.murderer.title" : "Heart-Pounding Moment"
"achievement.spectator.murderer.goal" : "The player you are spectating kills someone."

"achievement.teleporter1.title" : "Strange Sensation"
"achievement.teleporter1.goal" : "Use the teleporter."
"achievement.teleporter1.splitted.0" : "Strange "

"achievement.teleporter2.title" : "Mystery"
