# Title

"title.buttons.nebula" : "ネブラ"
"title.label.nebula" : "Nebula on the Ship"

"title.label.discord" : "NoSの公式Discordはこちらから！"

"title.buttons.update" : "バージョン変更"
"title.buttons.achievements" : "称号"
"title.buttons.addons" : "アドオン"
"title.buttons.developersStudio" : "デベロッパースタジオ"
"title.buttons.marketplace" : "マーケットプレイス"
"title.buttons.stats" : "統計"
"title.buttons.form" : "バグ報告"

# Certification

"certification.waiting" : "検証中"
"certification.waiting.detail" : "Among UsおよびNoSのバージョンをチェックしています..."
"certification.waiting.client" : "Among UsおよびNoSのバージョンをチェックしています..."
"certification.uncertified" : "未認証"
"certification.uncertified.detail" : "このプレイヤーはNoSを導入していません。"
"certification.uncertified.client" : "NoSを使用しない部屋に入室したようです。<br>バニラの部屋にModを導入したまま参加しないでください。"
"certification.unmatchedEpoch" : "エポック不一致"
"certification.unmatchedEpoch.detail" : "このプレイヤーはバージョンが大きく離れたNoSを使用しています。<br><b>GitHub</b>から同バージョンのNoSを導入するよう案内しましょう。"
"certification.unmatchedEpoch.client" : "ホストの導入しているNoSはバージョンが大きく離れているようです。<br><b>GitHub</b>からホストと同バージョンのNoSを導入してください。"
"certification.unmatchedBuild" : "バージョン不一致"
"certification.unmatchedBuild.detail" : "このプレイヤーは別バージョンのNoSを使用しています。<br><b>タイトル画面のNoSの更新</b>より同バージョンに揃えるよう案内しましょう。"
"certification.unmatchedBuild.client" : "ホストは別バージョンのNoSを使用しています。<br><b>タイトル画面のNoSの更新</b>より同バージョンを入手し、ゲームを再起動してください。"
"certification.unmatchedAddon" : "アドオン不一致"
"certification.unmatchedAddon.detail" : "このプレイヤーは必要なアドオンを導入していない、あるいは余分なアドオンを導入しています。<br>導入が必要なアドオンについて案内しましょう。"
"certification.unmatchedAddon.client" : "ホストとアドオンの導入状況が一致していません。<br><b>マーケットプレイス</b>で間違ったアドオンを追加していませんでしょうか？"
"certification.unmatchedVanilla" : "本体不一致"
"certification.unmatchedVanilla.detail" : "このプレイヤーは本体のバージョンが一致していません。<br>意図せぬ問題を回避するため、本体のバージョンを揃えてください。"
"certification.unmatchedVanilla.client" : "ホストと本体バージョンが一致していません。<br>ホストにAmong Us本体のバージョンを確認してください。"

# UI

"ui.dialog.yes" : "はい"
"ui.dialog.no" : "いいえ"
"ui.dialog.ok" : "OK"
"ui.dialog.exit" : "退出"
"ui.dialog.search" : "検索"
"ui.dialog.keyword" : "キーワード"
"ui.common.loading" : "読み込み中"
"ui.update.waitFinishing" : "バージョン変更中です"
"ui.update.finishUpdate" : "処理が完了しました！<br>ゲームを再起動してください。"
"ui.update.autoUpdate" : "自動更新が有効になりました。"
"ui.document.tooLongNesting" : "[長すぎるドキュメントの生成を中断しました。]"
"ui.citation.openUrl" : "クリックでリンクを開きます。"
"ui.meeting.leftClick" : "左クリック: 能力の使用"
"ui.meeting.rightClick": "右クリック: 別の能力に変更"
"ui.configuration.click" : "左クリック: 設定を開く<br>右クリック: 役職名と概要をコピー"
"ui.configuration.copied" : "コピーしました！"
"ui.discordWebhook.title" : "Discord ウェブフック"
"ui.discordWebhook.current" : "設定中のURL"
"ui.discordWebhook.urlFromClipboard" : "クリップボードから設定"
"ui.discordWebhook.failedPasteUrl" : "クリップボードからの読出しに失敗しました。<br>ウェブフックのURLをコピーしてから設定してください。"
"ui.discordWebhook.autoSend" : "自動送信 (ホスト時のみ有効)"
"ui.discordWebhook.determine" : "保存"
"ui.discordWebhook.send" : "送信"
"ui.dragAndDrop" : "ドラッグ&ドロップで画像を選択"
"ui.costume.missedCostume" : "他プレイヤーのコスチュームを表示するには<br>グローバルコスチュームの有効化が必要です！<br><br>クリックして開く画面から不足したグローバルコスチュームを追加できます。"
"ui.costume.unownedCostume" : "不足グローバルコス一覧"
"ui.error.stamp.notLoaded" : "スタンプを読み込み中です。<br>少し待ってからお試しください。"
"ui.error.stamp.notAllowed" : "この部屋ではスタンプを使用できません。"
"ui.error.emote.notAllowed" : "この部屋ではエモートを使用できません。"
"ui.error.emote.cooldown" : "少し待ってから再度エモートを送ってください。"
"ui.stamp.onTable" : "選択中のスタンプ"
"ui.stamp.all" : "使用可能なスタンプ"
"ui.stamp.full" : "スタンプの枠に空きがありません。<br>入れ替えるスタンプを選択してください。"
"ui.stamp.select" : "入れ替えるスタンプを選択してください。"
