# The Skeld

"map.skeld" : "スケルド"
"location.skeld.admin" : "管理室"
"location.skeld.cafeteria" : "カフェテリア"
"location.skeld.comms" : "通信室"
"location.skeld.electrical" : "電気室"
"location.skeld.lifeSupp" : "酸素ルーム"
"location.skeld.lifeSupport" : "酸素ルーム"
"location.skeld.lowerEngine" : "下部エンジン"
"location.skeld.medBay" : "医務室"
"location.skeld.nav" : "ナビゲーション"
"location.skeld.navigation" : "ナビゲーション"
"location.skeld.reactor" : "原子炉"
"location.skeld.security" : "セキュリティルーム"
"location.skeld.shields" : "シールドルーム"
"location.skeld.storage" : "保管庫"
"location.skeld.upperEngine" : "上部エンジン"
"location.skeld.weapons" : "ウェポンルーム"
"location.skeld.reactorAccess" : "十字路"
"location.skeld.medBayAccess" : "医務室上通路"
"location.skeld.electricalAccess" : "電気室前通路"
"location.skeld.adminAccess" : "アドミン前通路"
"location.skeld.commsAccess" : "通信室上通路"
"location.skeld.rightAccess" : "右通路"
"location.skeld.weaponsAccess" : "ウェポン左通路"

# MIRA HQ

"map.mira" : "ミラ"
"location.mira.admin" : "管理室"
"location.mira.balcony" : "バルコニー"
"location.mira.cafeteria" : "カフェテリア"
"location.mira.comms" : "通信室"
"location.mira.decontamination" : "除染室"
"location.mira.greenhouse" : "温室"
"location.mira.laboratory" : "研究室"
"location.mira.lockerRoom" : "ロッカールーム"
"location.mira.medBay" : "医務室"
"location.mira.office" : "オフィス"
"location.mira.reactor" : "原子炉"
"location.mira.rendezvous" : "三叉路"
"location.mira.storage" : "保管庫"
"location.mira.launchpad" : "発射台"

# Polus

"map.polus" : "ポーラス"
"location.polus.abditory" : "大岩"
"location.polus.admin" : "管理室"
"location.polus.comms" : "通信室"
"location.polus.boilerRoom" : "ボイラー室"
"location.polus.decontamination" : "除染室"
"location.polus.decontamination2" : "除染室"
"location.polus.decontamination3" : "除染室"
"location.polus.drill" : "ドリル"
"location.polus.dropship" : "ドロップシップ"
"location.polus.ejection" : "追放の地"
"location.polus.electrical" : "電気室"
"location.polus.laboratory" : "研究室"
"location.polus.lifeSupp" : "酸素ルーム"
"location.polus.lifeSupport" : "酸素ルーム"
"location.polus.office" : "オフィス"
"location.polus.security" : "セキュリティルーム"
"location.polus.snowdrift" : "雪の掃溜め"
"location.polus.specimens" : "標本室"
"location.polus.storage" : "ストレージ"
"location.polus.weapons" : "ウェポンズ"
"location.polus.nearDropship" : "ドロップシップ近辺"
"location.polus.lifeSupportToElectrical" : "O2・電気室間通路"
"location.polus.lifesupportLower" : "O2下屋外"
"location.polus.commLeft" : "通信室左"
"location.polus.commLeft.short" : "コミュ左"
"location.polus.breaker" : "配電盤"
"location.polus.specimenLeft" : "スペシメン左通路"
"location.polus.specimenRight" : "スペシメン上通路"
"location.polus.reactorLeft" : "耐震安定装置(左)"
"location.polus.reactorLeft.short" : "左リアクター"
"location.polus.reactorRight" : "耐震安定装置(右)"
"location.polus.reactorRight.short" : "右リアクター"
"location.polus.officeBuilding" : "オフィス建屋内"
"location.polus.outside" : "屋外"

# The Airship

"map.airship" : "エアシップ"
"location.airship.brig" : "宿舎前通路"
"location.airship.engine" : "エンジンルーム"
"location.airship.hallway" : "メインホール"
"location.airship.mainHall" : "メインホール"
"location.airship.kitchen" : "キッチン"
"location.airship.record" : "アーカイブ"
"location.airship.records" : "アーカイブ"
"location.airship.storage" : "貨物室"
"location.airship.cargoBay" : "貨物室"
"location.airship.armory" : "武器庫"
"location.airship.cockpit" : "コックピット"
"location.airship.comms" : "通信室"
"location.airship.electrical" : "電気室"
"location.airship.gapRoom" : "昇降機"
"location.airship.lounge" : "ラウンジ"
"location.airship.medical" : "診察室"
"location.airship.meetingRoom" : "ミーティングルーム"
"location.airship.security" : "セキュリティルーム"
"location.airship.shower" : "シャワー室"
"location.airship.showers" : "シャワー室"
"location.airship.toilet" : "トイレ"
"location.airship.vault" : "金庫室"
"location.airship.vaultRoom" : "金庫室"
"location.airship.viewingDeck" : "展望デッキ"
"location.airship.hallOfPortraits" : "絵画の通路"
"location.airship.securityDeck" : "セキュリティ展望デッキ"
"location.airship.securityDeck.short" : "セキュ展望"
"location.airship.commHall" : "通信室前通路"
"location.airship.engineUpper" : "エンジンルーム上方"
"location.airship.engineUpper.short" : "エンジン上"
"location.airship.showerInner" : "シャワー内部"
"location.airship.showerInner.short" : "シャワー奥"
"location.airship.cargoSafe" : "貨物室金庫"
"location.airship.meetingRight" : "ミーティングルーム奥"
"location.airship.meetingRight.short" : "ミーティング奥"
"location.airship.ventilation" : "換気室"

# The Fungle

"map.fungle" : "ファングル"
"location.fungle.beach" : "ビーチ"
"location.fungle.cafeteria" : "カフェテリア"
"location.fungle.campfire" : "キャンプファイア"
"location.fungle.comms" : "通信室"
"location.fungle.dropship" : "ドロップシップ"
"location.fungle.fishingDock" : "桟橋"
"location.fungle.greenhouse" : "温室"
"location.fungle.highlands" : "高台"
"location.fungle.jungle" : "ジャングル"
"location.fungle.kitchen" : "キッチン"
"location.fungle.laboratory" : "研究室"
"location.fungle.lookout" : "展望台"
"location.fungle.meetingRoom" : "ミーティングルーム"
"location.fungle.miningPit" : "鉱山"
"location.fungle.reactor" : "原子炉"
"location.fungle.recRoom" : "スプラッシュゾーン"
"location.fungle.splashZone" : "スプラッシュゾーン"
"location.fungle.storage" : "保管庫"
"location.fungle.sleepingQuarters" : "宿舎"
"location.fungle.upperEngine" : "上部エンジン"
"location.fungle.jungleLabo" : "研究室近辺"
"location.fungle.jungleLabo.short" : "ラボ近辺"
"location.fungle.jungleReactor" : "リアクター近辺"
"location.fungle.jungleGreenhouse" : "温室近辺"
"location.fungle.beachToJungle" : "ビーチ・ジャングル間"
"location.fungle.beachSplashzone" : "スプラッシュ左ビーチ"
"location.fungle.beachCafeteria" : "カフェテリア近辺"
"location.fungle.highlandsComm" : "通信室近辺"
"location.fungle.highlandsComm.short" : "コミュ近辺"

# Common

"location.outside" : "部屋外"

# Sabotage

"sabotage.reactor" : "リアクター"
"sabotage.laboratory" : "耐震装置"
"sabotage.lifeSupport" : "O2"
"sabotage.heliSabotage" : "ヘリ衝突"
"sabotage.comms" : "コミュサボ"
"sabotage.electrical" : "停電"
