# Title

"title.buttons.nebula" : "ネブラ"
"title.label.nebula" : "Nebula on the Ship"

"title.label.discord" : "NoSの公式Discordはこちらから！"

"title.buttons.update" : "バージョン変更"
"title.buttons.achievements" : "称号"
"title.buttons.addons" : "アドオン"
"title.buttons.developersStudio" : "デベロッパースタジオ"
"title.buttons.marketplace" : "マーケットプレイス"
"title.buttons.stats" : "統計"
"title.buttons.form" : "バグ報告"

"ui.update.waitFinishing" : "バージョン変更中です"
"ui.update.finishUpdate" : "処理が完了しました！<br>ゲームを再起動してください。"
"ui.update.autoUpdate" : "自動更新が有効になりました。"
"ui.version.copied" : "バージョンテキストをコピーしました。"

# AFK

"ui.afk.title" : "離席中"
"ui.afk.detail" : "戻ってきたら、いずれかのキーを押してAFKを解除してください。"

# Certification

"certification.waiting" : "検証中"
"certification.waiting.detail" : "Among UsおよびNoSのバージョンをチェックしています..."
"certification.waiting.client" : "Among UsおよびNoSのバージョンをチェックしています..."
"certification.uncertified" : "未認証"
"certification.uncertified.detail" : "このプレイヤーはNoSを導入していません。"
"certification.uncertified.client" : "NoSを使用しない部屋に入室したようです。<br>バニラの部屋にModを導入したまま参加しないでください。"
"certification.unmatchedEpoch" : "エポック不一致"
"certification.unmatchedEpoch.detail" : "このプレイヤーはバージョンが大きく離れたNoSを使用しています。<br><b>GitHub</b>から同バージョンのNoSを導入するよう案内しましょう。"
"certification.unmatchedEpoch.client" : "ホストの導入しているNoSはバージョンが大きく離れているようです。<br><b>GitHub</b>からホストと同バージョンのNoSを導入してください。"
"certification.unmatchedBuild" : "バージョン不一致"
"certification.unmatchedBuild.detail" : "このプレイヤーは別バージョンのNoSを使用しています。<br><b>タイトル画面のNoSの更新</b>より同バージョンに揃えるよう案内しましょう。"
"certification.unmatchedBuild.client" : "ホストは別バージョンのNoSを使用しています。<br><b>タイトル画面のNoSの更新</b>より同バージョンを入手し、ゲームを再起動してください。"
"certification.unmatchedAddon" : "アドオン不一致"
"certification.unmatchedAddon.detail" : "このプレイヤーは必要なアドオンを導入していない、あるいは余分なアドオンを導入しています。<br>導入が必要なアドオンについて案内しましょう。"
"certification.unmatchedAddon.client" : "ホストとアドオンの導入状況が一致していません。<br><b>マーケットプレイス</b>で間違ったアドオンを追加していませんでしょうか？"
"certification.unmatchedVanilla" : "本体不一致"
"certification.unmatchedVanilla.detail" : "このプレイヤーは本体のバージョンが一致していません。<br>意図せぬ問題を回避するため、本体のバージョンを揃えてください。"
"certification.unmatchedVanilla.client" : "ホストと本体バージョンが一致していません。<br>ホストにAmong Us本体のバージョンを確認してください。"

# Versions

"version.category.all" : "すべて"
"version.category.major" : "安定版"
"version.category.snapshot" : "スナップショット"
"version.category.preRelease" : "プレリリース"
"version.category.custom" : "カスタム"
"version.category.unknown" : "不明"
"version.category.auto" : "自動更新"
"version.fetching.autoUpdate.major" : "最新の安定版"
"version.fetching.autoUpdate.snapshot" : "最新のスナップショット"
"version.fetching.gainPackage" : "取得"
"version.fetching.setAutoUpdate" : "適用"
"version.fetching.current" : "使用中"
"version.fetching.mismatched" : "変更不可"
"version.fetching.applied" : "適用中"
"version.fetching.mismatched.detail" : "対応するAmong Us本体のバージョンがかけ離れているため、変更できません。<br>お手数をおかけしますが、再導入をお願いします。"
"version.fetching.loadMore" : "さらに読み込む"

# Game Mode

"options.gamemode" : "ゲームモード"

"gamemode.standard" : "標準"
"gamemode.freeplay" : "フリープレイ"
"gamemode.aeroguesser" : "アモゲッサー"

# Notification

"notification.lobby.noTitleForFreeplay" : "フリープレイでは称号は獲得できません。"
"notification.lobby.noTitleForOP" : "ホストにOP権限が付与されるゲームでは称号は獲得できません。"

# Inventory

"inventory.palette.catalogue" : "カタログ"
"inventory.palette.colorCode" : "色コード指定"
"inventory.palette.colorCode.mainColor" : "メインカラー"
"inventory.palette.colorCode.shadowColor" : "シャドウカラー"
"inventory.palette.colorCode.visorColor" : "バイザーカラー"
"inventory.palette.colorCode.colorName" : "色名"
"inventory.palette.colorCode.copy" : "コピー"
"inventory.palette.colorCode.paste" : "ペースト"
"inventory.palette.colorCode.copied" : "クリップボードにコピーしました。"
"inventory.palette.colorCode.pasted" : "クリップボードから色を指定しました。"
"inventory.palette.colorCode.pasted.failed" : "フォーマットに合っていません！"
"inventory.catalogue.innersloth" : "バニラコレクション"
