# Assignable

"role.niceSwapper.name" : "ナイススワッパー"
"role.niceSwapper.short" : "ス"
"role.niceSwapper.blurb" : "時論の代弁者"
"role.niceSwapper.hint" : "票を入れ替えて会議を操ろう"

# Document

"role.niceSwapper.doc" : "緊急会議で、投じられた票を入れ替えられるクルーメイトです。"
"role.niceSwapper.ability.title" : "固有能力 "投票スワップ""
"role.niceSwapper.ability.main" : "ナイススワッパーは、緊急会議中に選択した2人の得票を入れ替えられます。"

# Options

"options.role.niceSwapper.detail" : "ナイススワッパーは、緊急会議で投じられた票を入れ替えられるクルーメイトです。"
"options.role.niceSwapper.numOfSwap" : "最大スワップ数"

# Game


# UI


# Stats


# Titles

"achievement.niceSwapper.common1.title" : "秘蔵っ子"
"achievement.niceSwapper.common1.goal" : "他人が獲得した最多票を入れ替えて、味方の追放を阻止する。"
"achievement.niceSwapper.common1.splitted.1" : "っ"

"achievement.niceSwapper.common2.title" : "我欲のトリアージ"
"achievement.niceSwapper.common2.goal" : "自身が獲得した最多票を入れ替えて、他人を追放する。"
"achievement.niceSwapper.common2.flavor" : ""僕、可愛いんです。""

"achievement.niceSwapper.another1.title" : "独善"
"achievement.niceSwapper.another1.goal" : "非クルーメイトが獲得した最多票を入れ替えて、クルーメイトを追放する。"

"achievement.niceSwapper.challenge.title" : "アンリアルマジョリティ"
"achievement.niceSwapper.challenge.goal" : "票を入れ替えて最後のインポスターを追放し、勝利する。"
"achievement.niceSwapper.challenge.splitted.2" : "マジョリティ"
