# Assignable

"role.ubiquitous.name" : "ユビキタス"
"role.ubiquitous.short" : "ユ"
"role.ubiquitous.blurb" : "結べ、星間ネットワーク"

# Language

"role.ubiquitous.doc" : "周囲の様子を確認できる<b>ドローン</b>を操作するクルーメイトです。"
"role.ubiquitous.ability.title" : "固有能力 "遍在する監視網""
"role.ubiquitous.ability.main" : "タスクフェイズごとに最大1つの<b>アタッチ</b>されたドローンを使用できます。<br>会議を挟むと、アタッチ中のドローンは<b>デタッチ</b>され、他プレイヤーからも視認できるようになります。<br>デタッチされたドローンは操作できなくなる代わりに、ミニマップ上に周囲のプレイヤー情報を映し出します。"
"role.ubiquitous.ability.drone" : "<title>ドローン</title>アタッチされたドローンに視点を切り替え、操作します。<br>アタッチ中のドローンが存在しなければ手元に新しいドローンを召喚します。"
"role.ubiquitous.ability.callBack" : "<title>呼び戻し</title>アタッチ中のドローンを呼び戻します。"
"role.ubiquitous.ability.doorHack" : "<title>ドアハック</title>アタッチ中のドローンの周辺にあるドアをハッキングしてこじ開けます。"
"role.ubiquitous.tips" : "・アタッチ中のドローンを操作していない間であっても、画面左下の小窓からドローン周囲の様子を確認できます。"

# Options

"options.role.ubiquitous.detail" : "ユビキタスはドローンを操作し、周囲の様子を確認したり、ドアを開けられます。<br>会議を挟むと、ドローンはデタッチされ、自身のマップ上に情報を映します。"
"options.role.ubiquitous.microphoneRadious" : "マイク可聴範囲"
"options.role.ubiquitous.droneCoolDown" : "ドローン操作クールダウン"
"options.role.ubiquitous.droneDuration" : "ドローン操作時間"
"options.role.ubiquitous.detectionRadious" : "デタッチ後のプレイヤー探知範囲"
"options.role.ubiquitous.doorHackCoolDown" : "ドアハッキングクールダウン"
"options.role.ubiquitous.doorHackRadious" : "ドアハッキングの有効範囲"

# Game

"role.ubiquitous.droneRange" : "ユビキタス<color=white>: デタッチ済ドローンの検出範囲</color>"
"gameAction.ubiquitous.invoke" : "ドローン召喚"

# UI

"button.label.drone" : "ドローン"
"button.label.doorHack" : "ドアハック"
"button.label.callBack" : "呼び戻し"
"ui.action.ubiquitous.drone" : "ドローンを呼び出して視点を切り替えます。<br>すでにドローンが呼び出されている場合は、そのままドローンと視点を切り替えます。<br>ドローン操作中の場合は、元の視点に戻ります。"
"ui.action.ubiquitous.doorHack" : "ドローン近辺のドアをこじ開けます。"

# Stats

"stats.ubiquitous.drones" : "呼び出したドローンの数"

# Titles

"achievement.ubiquitous.common1.title" : "ドアハッカー"
"achievement.ubiquitous.common1.goal" : "ドローンを使ってゲーム中に合計5回ドアを開く。"
"achievement.ubiquitous.common1.splitted.2" : "ハッカー"

"achievement.ubiquitous.common2.title" : "無礙"
"achievement.ubiquitous.common2.goal" : "ドローンを使って通算20個のドアを開く。"
"achievement.ubiquitous.common2.flavor" : ""あれが近未来の技術なのだろうか？"<br>"―いいえ、あれはただ物理的にこじ開けているに過ぎません。""

"achievement.ubiquitous.challenge.title" : "ユビキタスネットワーク"
"achievement.ubiquitous.challenge.goal" : "マップ上で全生存者の位置を同時に確認する。"
"achievement.ubiquitous.challenge.cond" : "自身を除く生存者: 10人以上+検出範囲: 3m未満"
"achievement.ubiquitous.challenge.splitted.2" : "ネットワーク"
