# Assignable

"role.snatcher.name" : "スナッチャー"
"role.snatcher.short" : "スナッ"
"role.snatcher.blurb" : "すべて、僕のもの"
"role.snatcher.prefix" : "スナッチ"

# Document

"role.snatcher.doc" : "プレイヤーから能力を奪って自身のものにできるインポスターです。"
"role.snatcher.ability.title" : "固有能力 "力の簒奪者""
"role.snatcher.ability.main" : "プレイヤーから能力を奪います。能力を奪われたプレイヤーは、能力を奪われた事実に即座に気付けません。<br>奪われた能力は実際に使おうとしたときに壊れ、この時点でプレイヤーに能力が奪われた事実を知らせます。"
"role.snatcher.ability.snatch.taskPhase" : "<title>推察</title>プレイヤーから能力を奪います。"
"role.snatcher.ability.snatch.meeting" : "<title>推察</title>会議中にプレイヤーの能力を推察できます。推察に成功すると能力を奪えます。<br>推察に失敗すると壊れた能力を手に入れます。"
"role.snatcher.ability.clock.taskPhase" : "<title>クールダウン変速</title>奪える能力がない場合、代わりにクールダウン変速能力を獲得します。"
"role.snatcher.ability.clock.meeting" : "奪える能力がない役職を推察した場合、代わりに<b>クールダウン変速</b>能力を獲得します。"

# Options

"options.role.snatcher.detail" : "スナッチャーはプレイヤーから能力を奪います。"
"options.role.snatcher.snatchMethod" : "スナッチ方法"
"options.role.snatcher.snatchMethod.guess" : "会議時推察"
"options.role.snatcher.snatchMethod.interaction" : "インタラクション"
"options.role.snatcher.snatchCoolDown" : "スナッチクールダウン"
"options.role.snatcher.obviousGuessFailure" : "推察時の成否確認"
"options.role.snatcher.clockCoolDown" : "変速クールダウン"
"options.role.snatcher.clockDuration" : "変速効果時間"
"options.role.snatcher.clockRatio" : "クールダウン変速強度"
"options.role.snatcher.killCooldownRewindAfterUsurp" : "キルクールダウンの巻き戻し"
"options.role.snatcher.killCooldownRewindAfterUsurp.detail" : "スナイパーなどの特殊キルが盗まれると、代わりに通常キル能力が解禁されます。<br>通常キル能力を獲得した際にキルクールダウンをどの程度巻き戻すか設定します。"
"options.role.snatcher.group.snatch" : "能力スナッチングの設定"
"options.role.snatcher.group.clock" : "クールダウン変速能力の設定"

# Game


# UI

"button.label.snatch" : "スナッチ"
"button.label.clock" : "変速"
"ui.action.snatcher.snatch" : "相手の能力を奪います。"
"ui.action.snatcher.clock" : "しばらくの間、クールダウンのあがる速度を早めます。"

# Stats

"stats.snatcher.snatch" : "役職を奪った回数"

# Titles

"achievement.snatcher.common1.title" : "いただきっ！"
"achievement.snatcher.common1.goal" : "他人の能力を奪う。"

"achievement.snatcher.another1.title" : "亡失"
"achievement.snatcher.another1.goal" : "スナッチャーに能力を奪われる。"

"achievement.snatcher.common2.title" : "跳梁跋扈"
"achievement.snatcher.common2.goal" : "能力を奪った相手が死亡し、敗北したうえで自身が生きて勝利する。"

"achievement.snatcher.challenge.title" : "力に息衝く情熱"
"achievement.snatcher.challenge.goal" : "死にゆく仲間の力を引き継ぎ、生きて勝利する。"
"achievement.snatcher.challenge.flavor" : ""脈打つ心臓の半分は、キミだ。""
"achievement.snatcher.challenge.splitted.2" : "情熱"
