# Assignable

"role.scarlet.name" : "スカーレット"
"role.scarlet.short" : "ス"
"role.scarlet.blurb" : ""それでも、愛してる""

# Document

"role.scarlet.doc" : "本命とともに勝利を目指す第三陣営です。<br>誑かしたキープもうまく使ってやりましょう。"
"role.scarlet.winCond" : "本命が生存しながらゲームに勝利する。スカーレット勝利に上書きしたうえで勝利します。"
"role.scarlet.ability.title" : "固有能力 "魔性""
"role.scarlet.ability.main" : "誑かしたキープをうまく使って、本命の勝利をサポートします。"
"role.scarlet.ability.favorite" : "<title>本命</title>プレイヤーを本命にします。<br>スカーレットと本命は、どちらかが死亡するともう一方は後を追って自殺します。"
"role.scarlet.ability.flirt" : "<title>キープ</title>プレイヤーを誑かしてキープにします。スカーレットはキープの役職を知ることができます。<br>スカーレットとキープは一方が死亡しても後を追って自殺することはありません。"
"role.scarlet.ability.hourglass" : "<title>時間制限</title>制限時間内に本命を決定できないと、寂しさから死亡してしまいます。<br>このタイマーは会議中・会議終了直後は進行しません。"
"role.scarlet.ability.meeting" : "<title>深紅の号令</title>緊急会議中に使用できます。<br>本命およびキープの投票先を自身の投票先に合わせさせます。"

# Options

"options.role.scarlet.detail" : "スカーレットは本命とともに勝利を目指す第三陣営です。<br>誑かしたキープを巧みにつかってゲームをコントロールします。"
"options.role.scarlet.graceUntilDecidingFavorite" : "本命決定までの猶予時間"
"options.role.scarlet.graceUntilDecidingFavorite.detail" : "設定した時間内に本命を決定しないとスカーレットは死亡してしまいます。<br>会議中や会議直後は猶予時間のタイマーは進行しません。<br>※ この時間を短く設定しすぎてしまうと、ゲーム終盤の誑かしがキープであることが透けてしまいます。"
"options.role.scarlet.numOfKept" : "キープの最大人数"
"options.role.scarlet.numOfCommand" : "号令の最大使用回数"
"options.role.scarlet.numOfCommand.detail" : "スカーレットは会議中に<b>深紅の号令</b>を発動することで、本命とキープの投票先を<br>自身の投票先に合わせさせられます。"
"options.role.scarlet.canOverrideTaskWin" : "タスク勝利の乗っ取り"
"options.role.scarlet.favoriteGauge" : "本命ゲージ"
"options.role.scarlet.favoriteGauge.detail" : "オンにすると、スカーレットは勝利のために「本命ゲージ」を<br>溜めなければならなくなります。<br>本命ゲージは本命のそばに居続けると溜まり、離れると減少します。"
"options.role.scarlet.requiredGaugeToWin" : "勝利に必要なゲージ量"
"options.role.scarlet.requiredGaugeToWin.detail" : "スカーレットは本命のそばに設定した時間だけ居続ける必要があります。<br>継続して傍に居続ける必要はありませんが、本命から離れるとゲージは少しずつ減少します。"
"options.role.scarlet.surplusGauge" : "余剰ゲージ量"
"options.role.scarlet.surplusGauge.detail" : "スカーレットは必要量より多くゲージを溜められます。<br>この値を大きくするほど、本命から離れて立ち回る余裕が生まれます。"
"options.role.scarlet.gaugeReductionRatio" : "本命ゲージの減少速度"
"options.role.scarlet.gaugeReductionRatio.detail" : "本命のそばにいない間、溜まる速度にこの設定値を乗じた速度でゲージが減少します。<br>1xで溜まる速度と同じ速度で減少します。1未満の数値を推奨します。"
"options.role.scarlet.canLocateLovers" : "恋人の位置を表示"
"options.role.scarlet.group.gauge" : "本命ゲージの設定"

# Game

"role.scarlet.gui.gauge" : "本命ゲージ"
"role.scarlet.gui.favorite" : "本命"

# UI

"button.label.scarlet.grance" : "残り時間"
"button.label.favorite" : "本命"
"button.label.seduce" : "キープ"
"button.label.scarlet.command" : "号令"
"ui.action.scarlet.suicide" : "時間内に本命を決定しないと死亡してしまいます！<br>会議中や会議終了直後はタイマーは進行しません。"

# Stats

"stats.scarlet.kept" : "キープを誑かした回数"

# Titles

"achievement.scarlet.common1.title" : "もうひとつの顔"
"achievement.scarlet.common1.goal" : "1人を誑かし、1人を本命にする。"
"achievement.scarlet.common1.splitted.0" : "もうひとつの"

"achievement.scarlet.common2.title" : "女王の名に懸けて"
"achievement.scarlet.common2.goal" : "深紅の号令によって通算で3人のプレイヤーを追放する。"
"achievement.scarlet.common2.splitted.1" : "名に"

"achievement.scarlet.another1.title" : "或る紳士"
"achievement.scarlet.another1.goal" : "スカーレットに誑かされ、そのまま死亡する。"
"achievement.scarlet.another1.splitted.0" : "或る"

"achievement.scarlet.another2.title" : "恋敵"
"achievement.scarlet.another2.goal" : "会議で、深紅の号令によって追放される。"
"achievement.scarlet.another2.flavor" : ""月明かりがもったいないわ。夜を統べるのは一人で十分。" ―破られた議事録より"

"achievement.scarlet.love.title" : "愛、それは"
"achievement.scarlet.love.goal" : "自身が自身の本命になり、スカーレット勝利で勝利する。"
"achievement.scarlet.love.cond" : "自身のみが勝利すること"
"achievement.scarlet.love.flavor" : ""―それは、逃れられぬ呪縛。""

"achievement.scarlet.challenge.title" : "不夜城の女帝"
"achievement.scarlet.challenge.goal" : "深紅の号令によって1人のプレイヤーを追放し、<br>誑かしたプレイヤーが2人以上死亡、2人以上生存しながら本命とともに勝利する。"
"achievement.scarlet.challenge.splitted.2" : "女帝"

# Team

"teams.scarlet" : "スカーレット"
"end.scarlet" : "スカーレット%EXTRA%勝利"

# Document

"document.tip.winCond.scarlet.title" : "乗っ取り勝利"
"document.tip.winCond.scarlet" : "本命の相手が生きて勝利すると、勝利を乗っ取ります。本命とスカーレット本人が勝利します。<br>ただしアヴェンジャー勝利については、本命がアヴェンジャーとして勝利しない限り乗っ取りません。"
