# Assignable

"role.tyrant.name" : "タイラント"
"role.tyrant.short" : "タ"
"role.tyrant.blurb" : "烈日の如く"

# Document

"role.tyrant.doc" : "指定数キルすると勝利する第三陣営です。"

# Options

"options.role.tyrant.detail" : "タイラントは指定数キルすると勝利します。<br>キルを重ねられる前に追放しましょう！"
"options.role.tyrant.killCooldown" : "キルクールダウン"
"options.role.tyrant.numOfKillingToWin" : "勝利に必要なキル数"
"options.role.tyrant.useImpostorAbility" : "インポスター能力の使用"

# Game


# UI


# Stats

"stats.tyrant.kill" : "キル回数"

# Titles

"achievement.tyrant.common1.title" : "暴君"
"achievement.tyrant.common1.goal" : "通算で6回キルする。"

"achievement.tyrant.another1.title" : "愛こそはすべて"
"achievement.tyrant.another1.goal" : "勝利まであと1キル届かないまま死亡する。"

"achievement.tyrant.challenge.title" : "極楽焦土"
"achievement.tyrant.challenge.goal" : "3陣営以上に十分な勝機がある中で勝利する。"

# Team

"teams.tyrant" : "タイラント"
"end.tyrant" : "タイラント%EXTRA%勝利"

# Document

"document.tip.winCond.tyrant.title" : "キル勝利"
"document.tip.winCond.tyrant" : "%NUM%人のプレイヤーをキルすると勝利します。<br>この陣営は他のキル陣営が殲滅すべきキル陣営にカウントされません。"
