# Colors

"help.color.icon.april0" : "この色は4月限定称号の対象色(黄緑)です。"
"help.color.icon.april1" : "この色は4月限定称号の対象色(桜色)です。"
"help.color.icon.august" : "この色は8月限定称号の対象色(緑or黒)です。"

# Role Preview

"help.rolePreview.header" : "割り当て候補"
"help.rolePreview.modImpostor.100" : "役職持ちインポスター (確定出現)"
"help.rolePreview.modImpostor.random" : "役職持ちインポスター (ランダム出現)"
"help.rolePreview.modImpostor.additional" : "役職持ちインポスター (付随出現)"
"help.rolePreview.vanillaImpostor" : "素インポスター"
"help.rolePreview.modNeutral.100" : "第三陣営 (確定出現)"
"help.rolePreview.modNeutral.random" : "第三陣営 (ランダム出現)"
"help.rolePreview.modNeutral.additional" : "第三陣営 (付随出現)"
"help.rolePreview.modCrewmate.100" : "役職持ちクルーメイト (確定出現)"
"help.rolePreview.modCrewmate.random" : "役職持ちクルーメイト (ランダム出現)"
"help.rolePreview.modCrewmate.additional" : "役職持ちクルーメイト (付随出現)"
"help.rolePreview.vanillaCrewmate" : "素クルーメイト"
"help.rolePreview.category.impostor" : "インポスター"
"help.rolePreview.category.neutral" : "第三陣営"
"help.rolePreview.category.crewmate" : "クルーメイト"
"help.rolePreview.category.special" : "特殊割り当て"
"help.rolePreview.inner.100" : "確定出現"
"help.rolePreview.inner.random" : "ランダム出現"
"help.rolePreview.inner.additional" : "付随出現"
"help.rolePreview.inner.modifiers" : "モディファイア"
"help.rolePreview.inner.ghostRoles" : "幽霊役職"
"help.rolePreview.inner.jackalized.100" : "ジャッカル化 確定出現"
"help.rolePreview.inner.jackalized.random" : "ジャッカル化 ランダム出現"
"help.rolePreview.inner.madden.100" : "マッド化 確定出現"
"help.rolePreview.inner.madden.random" : "マッド化 ランダム出現"
"help.rolePreview.inner.tyrant.100" : "タイラント化 確定出現"
"help.rolePreview.inner.tyrant.random" : "タイラント化 ランダム出現"
"help.rolePreview.winCond" : "勝利条件"
