"achievement.agent.common1.title" : "最强社畜"
"achievement.agent.common1.goal" : "一局完成8个以上的任务，并任务胜利。。"
"achievement.agent.common1.cond" : "提示：免除自身3以下的任务+任务总量"
"achievement.agent.common1.splitted.0" : "默默无闻的"

"achievement.agent.another1.title" : "废物"
"achievement.agent.another1.goal" : "其他船员先比代理人完成任务"
"achievement.agent.another1.cond" : ""
"achievement.agent.another1.flavor" : "“你总是拖拖拉拉的。” —摘自一篇匿名文章。"

"achievement.agent.common2.title" : "卷王"
"achievement.agent.common2.goal" : "15秒内完成两个任务。"
"achievement.agent.common2.cond" : ""
"achievement.agent.common2.splitted.0" : "行家的"

"achievement.agent.challenge.title" : "社畜"
"achievement.agent.challenge.goal" : "完成5个以上的代理任务，并任务胜利。"
"achievement.agent.challenge.cond" : "提示：免除自身3以下的任务"
"achievement.agent.challenge.splitted.0" : "完美"
"achievement.agent.challenge.splitted.2" : "船员"

"achievement.bait.common1.title" : "诱人中带一丝危险"
"achievement.bait.common1.goal" : "被击杀然后强制让凶手报告。"
"achievement.bait.common1.cond" : ""

"achievement.bait.another1.title" : "死于谋略"
"achievement.bait.another1.goal" : "非正常击杀导致死亡（如放逐）"
"achievement.bait.another1.cond" : ""
"achievement.bait.another1.splitted.1" : "计策"

"achievement.bait.challenge.title" : "谋士当以身定局"
"achievement.bait.challenge.goal" : "凶手在报告自己死亡的会议上被驱逐。"
"achievement.bait.challenge.cond" : ""
"achievement.bait.challenge.splitted.0" : "拼命的"

"achievement.busker.common1.title" : "才艺时间"
"achievement.busker.common1.goal" : "假死然后复活。"
"achievement.busker.common1.cond" : ""
"achievement.busker.common1.splitted.1" : "・"

"achievement.busker.another1.title" : "玩过头了"
"achievement.busker.another1.goal" : "假死后复活失败。"
"achievement.busker.another1.cond" : ""
"achievement.busker.another1.splitted.0" : "危机的"

"achievement.busker.challenge.title" : "医学奇迹"
"achievement.busker.challenge.goal" : "假死并且复活后在两秒内发起报告。"
"achievement.busker.challenge.cond" : "提示：报告自身尸体跟使用紧急按钮不算"
"achievement.busker.challenge.flavor" : "“只有刺激才能保证心脏的跳动。”—没有署名的回忆录"

"achievement.climber.common1.title" : "攀登"
"achievement.climber.common1.goal" : "使用钩索移动5米。"
"achievement.climber.common1.cond" : ""
"achievement.climber.common1.flavor" : "攀上最高峰的一小步。"
"achievement.climber.common1.splitted.2" : "冒险家"

"achievement.climber.common2.title" : "踏上最高峰"
"achievement.climber.common2.goal" : "累计使用钩索移动1千米以上。"
"achievement.climber.common2.cond" : ""
"achievement.climber.common2.flavor" : "“一步一步攀上世界之巅！”<br>“那么现在开始吧！”"
"achievement.climber.common2.splitted.0" : "人类未踏的"

"achievement.climber.common3.title" : "富士山上"
"achievement.climber.common3.goal" : "累计使用钩索移动3776米以上。"
"achievement.climber.common3.cond" : ""
"achievement.climber.common3.flavor" : "注：已经有人达成了。"
"achievement.climber.common3.splitted.0" : "不死的"

"achievement.climber.common4.title" : "世界之巅"
"achievement.climber.common4.goal" : "累计使用钩索移动8848米以上。"
"achievement.climber.common4.cond" : ""
"achievement.climber.common4.flavor" : "注：已经有人达成了。"

"achievement.climber.common5.title" : "宇宙之巅"
"achievement.climber.common5.goal" : "累计使用钩索移动21230米以上。"
"achievement.climber.common5.cond" : ""
"achievement.climber.common5.flavor" : "奥林帕斯山，火星上的最高峰。<br>仰望星空吧。"

"achievement.climber.another1.title" : "飞蛾扑火"
"achievement.climber.another1.goal" : "使用钩索移动过程中或结束时被击杀。"
"achievement.climber.another1.cond" : ""

"achievement.climber.challenge.title" : "绝望中仍有一线生机"
"achievement.climber.challenge.goal" : "在伪装者、豺狼附近使用钩索移动。<br>周围存在2人以上，且结束后没有死亡。"
"achievement.climber.challenge.cond" : ""
"achievement.climber.challenge.splitted.0" : "神圣的"
"achievement.climber.challenge.splitted.2" : "秘峰"

"achievement.collator.common3.title" : "有趣的记录"
"achievement.collator.common3.goal" : "核对的结果确认不一致。"
"achievement.collator.common3.cond" : ""
"achievement.collator.common3.flavor" : "“我们现在已经确定要个非船员溜进来了”—研究者的报告单"
"achievement.collator.common3.splitted.0" : "有趣的"

"achievement.collator.common1.title" : "实验狂魔"
"achievement.collator.common1.goal" : "一次游戏取得五次以上样本。"
"achievement.collator.common1.cond" : ""
"achievement.collator.common1.flavor" : "“你不能一直抽下去！” —研究者的提醒。"
"achievement.collator.common1.splitted.2" : "日和"

"achievement.collator.common2.title" : "癫狂的研究者"
"achievement.collator.common2.goal" : "总计取得20次样品。"
"achievement.collator.common2.cond" : ""
"achievement.collator.common2.flavor" : "“我觉得你不是一个船员！” —报告单上的潦草字迹。"
"achievement.collator.common2.splitted.0" : "癫狂的"

