"achievement.firstKill.title" : "生与死的观察"
"achievement.firstKill.goal" : "看到10次死亡"

"achievement.firstKill2.title" : "真是令人愉快的游戏"
"achievement.firstKill2.goal" : "累计被首杀50次。"
"achievement.firstKill2.splitted.2" : "游戏"

"achievement.firstKill3.title" : "进房笑嘻嘻，首刀玩手机"
"achievement.firstKill3.goal" : "累计被首杀100次。"
"achievement.firstKill3.flavor" : "“高血压，已经卸载！”—■■■"

"achievement.death1.title" : "越战越勇"
"achievement.death1.goal" : "累计死亡50次。"

"achievement.death2.title" : "尸骸成山"
"achievement.death2.goal" : "累计死亡100次。"
"achievement.death2.splitted.2" : "山"

"achievement.death3.title" : "死亡如风"
"achievement.death3.goal" : "累计死亡500次。"
"achievement.death3.flavor" : "“已经不痛不痒了……”"
"achievement.death3.splitted.0" : "瞬间的"

"achievement.challenge.impostor.title" : "完美的入侵"
"achievement.challenge.impostor.goal" : "所有伪装者都存活，并且获胜。"
"achievement.challenge.impostor.cond" : "提示：自己要杀死2个以上的玩家"

"achievement.challenge.lastCrewmate.title" : "极限生存"
"achievement.challenge.lastCrewmate.goal" : "作为最后的船员存活并胜利。"
"achievement.challenge.lastCrewmate.cond" : "提示：叛徒不计入船员阵营。"

"achievement.challenge.death2.title" : "千方百计"
"achievement.challenge.death2.goal" : "见证4种死亡原因。"
"achievement.challenge.death2.cond" : "提示：包含自杀、他人的死亡以及投票驱逐间接害死。"

"achievement.noCrewmate.title" : "胜利倒计时"
"achievement.noCrewmate.goal" : "在全体船员死亡的状态下任务胜利。"
"achievement.noCrewmate.cond" : "提示：自己属于船员阵营且不是叛徒（叛徒不计入船员阵营）。"

"achievement.challenge.crewmate.title" : "寂静的世界"
"achievement.challenge.crewmate.goal" : "所有人都存活，然后任务获胜。"

"achievement.speedAttribute.title" : "是好是坏"
"achievement.speedAttribute.goal" : "同时受到加速和减速的效果。"

"achievement.threeRoles.title" : "各怀鬼胎"
"achievement.threeRoles.goal" : "在伪装者阵营中，存在一个拥有恋人附加和一个有跟班附加"

"achievement.doTaskEvenDead.title" : "打工魂"
"achievement.doTaskEvenDead.goal" : "死亡状态下完成所有任务。"
"achievement.doTaskEvenDead.cond" : "提示：8个以上的任务"

"achievement.noMeeting.title" : "夜长梦多"
"achievement.noMeeting.goal" : "没有发起一次会议并胜利。"
"achievement.noMeeting.flavor" : "最糟糕的游戏"
"achievement.noMeeting.splitted.2" : "梦"

"achievement.extraVictim.title" : "死亡回响"
"achievement.extraVictim.goal" : "被连带驱逐。"
"achievement.extraVictim.splitted.0" : "死亡的"

"achievement.spectator.dead.title" : "战地实记"
"achievement.spectator.dead.goal" : "观战视角中玩家被击杀。"

"achievement.spectator.murderer.title" : "忐忑不安"
"achievement.spectator.murderer.goal" : "观战视角中玩家进行击杀。"

"achievement.teleporter1.title" : "奇妙的感觉"
"achievement.teleporter1.goal" : "使用一次传送器"
"achievement.teleporter1.splitted.0" : "奇妙的"

