# Assignable

"role.secret.name" : "Secret"
"role.secret.short" : "?"
"role.secret.blurb" : "Wake Up!"
"role.secret.generalBlurb" : "目を覚ませ！"
"role.secretInGame.name" : "Secret"
"role.secretInGame.short" : "?"
"role.secretInGame.blurb" : "Wake Up!"

# Document

"role.secret.doc" : "覚醒して本来の役職を手に入れましょう。"

# Options

"options.role.secret.detail" : "Secret hides your role.<br>Players do task or kill for arousal."
"options.role.secret.impostorArousalMethod" : "Impostor Arousal Method"
"options.role.secret.impostorArousalMethod.kill" : "Kill"
"options.role.secret.impostorArousalMethod.death" : "Death Of Impostors"
"options.role.secret.killingForArousal" : "# Killing For Arousal"
"options.role.secret.tasksForArousal" : "# Tasks For Arousal"

# Game


# UI


# Stats


# Titles

"achievement.secret.common1.title" : "覚醒"
"achievement.secret.common1.goal" : "キルやタスクによって元の役職を覚醒させる。"

"achievement.secret.another1.title" : "微睡"
"achievement.secret.another1.goal" : "覚醒して勝利する。"
"achievement.secret.another1.flavor" : ""いい眠りだった。""

"achievement.secret.another2.title" : "夢寐"
"achievement.secret.another2.goal" : "覚醒せずに勝利する。"
"achievement.secret.another2.flavor" : ""何故なんだ？" ―仲間の呼び声"

"achievement.secret.challenge.title" : "ローマは一日にして成れり"
"achievement.secret.challenge.goal" : "覚醒し、役職のチャレンジ称号を獲得する。"
