# Assignable

"role.sidekick.name" : "Sidekick"
"role.sidekick.short" : "S"
"role.sidekick.blurb" : "おれたちはタッグだ！"
"role.sidekick.generalBlurb" : "おれたちはタッグだ！"

# Document

"role.sidekick.doc" : "ジャッカルの仲間です。"

# Options

"options.role.sidekick.detail" : "Sidekick assists Jackal.<br>Sidekick is promoted to Jackal upon Jackal's death."
"options.role.sidekick.canKill" : "Has Kill Ability"
"options.role.sidekick.killCoolDown" : "Kill Cooldown"
"options.role.sidekick.isModifier" : "Is Modifier"
"options.role.sidekick.canCreateSidekickChainly" : "Can Create Sidekick Chainly"
"options.role.sidekick.inheritanceRule" : "Inheritance Rule"
"options.role.sidekick.inheritanceRule.inherit" : "Inherit"
"options.role.sidekick.inheritanceRule.suicide" : "Suicide"
"options.role.sidekick.inheritanceRule.none" : "None"
"options.role.sidekick.assignedSidekick" : "Initial Assignment"
"options.role.sidekick.canSuicide" : "Can Suicide"
"options.role.sidekick.suicideCooldown" : "Suicide Cooldown"
"options.role.sidekick.canFixLight" : "Can Fix Light"
"options.role.sidekick.canFixComms" : "Can Fix Comms"
"options.role.sidekick.hasImpostorVision" : "Has Impostor Vision"
"options.role.sidekick.canUseVents" : "Can Use Vents"
"options.role.sidekick.canMoveInVents" : "Can Move In Vents"

# Game


# UI


# Stats


# Titles

"achievement.sidekick.common1.title" : "ずっと友だち"
"achievement.sidekick.common1.goal" : "サイドキックからジャッカルに昇格する。"
"achievement.sidekick.common1.splitted.2" : "友だち"

"achievement.sidekick.common2.title" : "友情の鎖"
"achievement.sidekick.common2.goal" : "サイドキックからジャッカルに昇格したのち、<br>自身もサイドキックを付与する。"
"achievement.sidekick.common2.splitted.0" : "友情の"

"achievement.sidekick.challenge.title" : "裏社会の処世術"
"achievement.sidekick.challenge.goal" : "インポスターからサイドキックに変化したうえでジャッカル勝利する。"
"achievement.sidekick.challenge.cond" : "ゲーム中にジャッカルに昇格しても達成可能"
"achievement.sidekick.challenge.splitted.0" : "裏社会の"
