"achievement.agent.common1.title" : "見えない献身"
"achievement.agent.common1.goal" : "代行タスクをこなして勝利する。"
"achievement.agent.common1.cond" : "タスク免除数: 3以下+タスク総量: 8以上"

"achievement.agent.another1.title" : "レイオフ"
"achievement.agent.another1.goal" : "タスクを先んじて完遂され、自滅する。"
"achievement.agent.another1.cond" : ""

"achievement.agent.challenge.title" : "パーフェクトクルーメイト"
"achievement.agent.challenge.goal" : "代行タスクを5つ以上こなしてタスク勝利する。"
"achievement.agent.challenge.cond" : "タスク免除数: 3以下"

"achievement.bait.common1.title" : "計画通り"
"achievement.bait.common1.goal" : "ベイトレポートを発動させる。"
"achievement.bait.common1.cond" : ""

"achievement.bait.challenge.title" : "命懸けの計略"
"achievement.bait.challenge.goal" : "自身をベイトレポートしたプレイヤーが会議で追放される。"
"achievement.bait.challenge.cond" : ""

"achievement.busker.common1.title" : "イッツ・ショータイム"
"achievement.busker.common1.goal" : "偽装死ののち、復活する。"
"achievement.busker.common1.cond" : ""

"achievement.busker.another1.title" : "危険な大道芸"
"achievement.busker.another1.goal" : "偽装死ののち、復活に失敗する。"
"achievement.busker.another1.cond" : ""

"achievement.busker.challenge.title" : "手に汗握る瞬間を"
"achievement.busker.challenge.goal" : "復活から2秒以内に会議が開かれる。"
"achievement.busker.challenge.cond" : "自身による死体の通報、緊急ボタンは無効"

"achievement.comet.common1.title" : "船上の彗星"
"achievement.comet.common1.goal" : "透明化能力を使用する。"
"achievement.comet.common1.cond" : "The Skeld あるいは Airship 限定"

"achievement.comet.common2.title" : "地上の彗星"
"achievement.comet.common2.goal" : "透明化能力を使用する。"
"achievement.comet.common2.cond" : "MIRA HQ, Polus あるいは The Fungle 限定"

"achievement.comet.common3.title" : "スピードスター"
"achievement.comet.common3.goal" : "透明化能力を使用して、直線距離で45m以上移動する。"
"achievement.comet.common3.cond" : "加速時間: 15秒以下+加速倍率: 2.5x以下"

"achievement.comet.challenge.title" : "不可視の目撃者"
"achievement.comet.challenge.goal" : "透明化能力の使用中、間近にキル現場を目撃する。"
"achievement.comet.challenge.cond" : ""

"achievement.doctor.common1.title" : "速やかな死亡診断"
"achievement.doctor.common1.goal" : "ポータブルバイタルをひらく。"
"achievement.doctor.common1.cond" : ""

"achievement.doctor.challenge.title" : "斯くして奴は死んだ"
"achievement.doctor.challenge.goal" : "ポータブルバイタルで死の瞬間を目撃する。"
"achievement.doctor.challenge.cond" : "初期使用可能時間: 10秒以下+タスクによるチャージ: 2秒以下"

"achievement.madmate.common1.title" : "身代わり"
"achievement.madmate.common1.goal" : "インポスターが生存しているときに会議で追放される。"
"achievement.madmate.common1.cond" : ""

