"achievement.agent.common1.title" : "Devoted Attitude"
"achievement.agent.common1.goal" : "Win with completing some of delegate tasks."
"achievement.agent.common1.cond" : "Exempt tasks: 3 or less+Total number of tasks: 8 or more"

"achievement.agent.another1.title" : "Layoff"
"achievement.agent.another1.goal" : "タスクを先んじて完遂され、自滅する。"
"achievement.agent.another1.cond" : ""
"achievement.agent.another1.flavor" : ""お前はいつもこうだ。" ―匿名希望の随想より、抜粋"

"achievement.agent.common2.title" : "仕事人の妙技"
"achievement.agent.common2.goal" : "ベント移動を挟んで、直前のタスククリアから15秒以内に次のタスクをこなす。"
"achievement.agent.common2.cond" : ""

"achievement.agent.challenge.title" : "The Perfect Crewmate"
"achievement.agent.challenge.goal" : "Win by tasks with completing 5 or more delegate tasks."
"achievement.agent.challenge.cond" : "Exempt tasks: 3 or less"

"achievement.bait.common1.title" : "As Planned"
"achievement.bait.common1.goal" : "Trigger a bait report."
"achievement.bait.common1.cond" : ""

"achievement.bait.challenge.title" : "Bold Strategy"
"achievement.bait.challenge.goal" : "Exiled my corpse reporter."
"achievement.bait.challenge.cond" : ""

"achievement.busker.common1.title" : "It's Showtime!"
"achievement.busker.common1.goal" : "Pseudocide and revive successfully."
"achievement.busker.common1.cond" : ""

"achievement.busker.another1.title" : "Busking Failure"
"achievement.busker.another1.goal" : "Pseudocide and then die."
"achievement.busker.another1.cond" : ""

"achievement.busker.challenge.title" : "Nail-biting Moment"
"achievement.busker.challenge.goal" : "The meeting will begin within 2 seconds of being revived."
"achievement.busker.challenge.cond" : "Excludes meetings held by yourself."
"achievement.busker.challenge.flavor" : ""その緊張感は、私の良く知っているそれによく似ている。" ―署名の無い回顧録"

"achievement.collator.common3.title" : "興味深い記録"
"achievement.collator.common3.goal" : "照合の結果、不一致を確認する。"
"achievement.collator.common3.cond" : ""
"achievement.collator.common3.flavor" : ""クルーメイトならざる者が紛れこんだという確証が得られた。" ―放棄済みの研究室に保管されていた資料より"

"achievement.collator.common1.title" : "実験日和"
"achievement.collator.common1.goal" : "1ゲームで5回以上サンプルを取得する。"
"achievement.collator.common1.cond" : ""
"achievement.collator.common1.flavor" : ""採血するスキを見せてるのが悪いんです！" ―ある研究者の傍聞き"

"achievement.collator.common2.title" : "あぶない蒐集家"
"achievement.collator.common2.goal" : "通算で20回サンプルを取得する。"
"achievement.collator.common2.cond" : ""
"achievement.collator.common2.flavor" : ""誰だあの許可を得ずいきなり採血しだすマッドに権限を持たせた奴は" ―ある報告書の殴り書きより"

"achievement.collator.common4.title" : "親和する劇物"
"achievement.collator.common4.goal" : "インポスターのサンプル同士を照合する。"
"achievement.collator.common4.cond" : ""
"achievement.collator.common4.flavor" : ""彼らは...自分の相方と対立しあっていたんだ...！" ―床に染み付いた血の跡の傍に書かれていた言葉"

"achievement.collator.another1.title" : "危険な探求心"
"achievement.collator.another1.goal" : "サンプルを採取した対象にキルされる。"
"achievement.collator.another1.cond" : "採取後5秒以内にキルされること"
"achievement.collator.another1.flavor" : "少しの義務感と大きな探求心に突き動かされ、引き際を見定められなかった者の末路"

"achievement.collator.challenge.title" : "偉大なる科学文明"
"achievement.collator.challenge.goal" : "全インポスターについて、そのサンプルを照合に使用した上で追放し、<br>クルーメイト勝利する。"
"achievement.collator.challenge.cond" : ""
"achievement.collator.challenge.flavor" : "「やっと通常業務に戻れますね」彼女の言葉が研究室に響いた。"

"achievement.comet.common1.title" : "Comet on the Ship"
"achievement.comet.common1.goal" : "Use Comet's ability."
"achievement.comet.common1.cond" : "Play on The Skeld or Airship"

"achievement.comet.common2.title" : "Earthly Comet"
"achievement.comet.common2.goal" : "Use Comet's ability."
"achievement.comet.common2.cond" : "Play on MIRA HQ, Polus or The Fungle"

"achievement.comet.common3.title" : "Speedster"
"achievement.comet.common3.goal" : "Move more than 45m with Comet's ability."
"achievement.comet.common3.cond" : "Blaze Duration: 15s or less+Blaze Rate: 2.5x or less"
"achievement.comet.common3.flavor" : ""君はあらゆる容疑を背負ってくるね" ―破られた議事録より"

"achievement.comet.challenge.title" : "Invisible Witness"
"achievement.comet.challenge.goal" : "Witness a kill while using an ability."
"achievement.comet.challenge.cond" : ""

"achievement.doctor.common1.title" : "Utilization of Vitals"
"achievement.doctor.common1.goal" : "Check portable vitals."
"achievement.doctor.common1.cond" : ""

"achievement.doctor.challenge.title" : "Thus They Died"
"achievement.doctor.challenge.goal" : "Witness the moment of death with portable vitals."
"achievement.doctor.challenge.cond" : "Portable vitals charge: 10 seconds or less+Charge per tasks: 2 seconds or less"
"achievement.doctor.challenge.flavor" : ""白い天井に、無機質な音" ―戦場の独白"

"achievement.justice.common1.title" : "審判の時間"
"achievement.justice.common1.goal" : "審判の会議を始める。"
"achievement.justice.common1.cond" : ""
"achievement.justice.common1.flavor" : ""突如として二人だけが秤に乗せられたんだ！" ―目撃者の証言"

"achievement.justice.common2.title" : "義心"
"achievement.justice.common2.goal" : "インポスターを審判にかける。"
"achievement.justice.common2.cond" : ""
"achievement.justice.common2.flavor" : ""怪しいと思ってたんだ。" ―破られた議事録より"

"achievement.justice.another1.title" : "深まる疑心"
